Title,Genres,Release Date,Release Country,Review Rating,Movie Run Time
Prairie Dog (2015), Adventure| Drama| Fantasy| Horror| Thriller,2016/02/01,USA,7.4,94
Werewolf Rising (2014), Horror,2014/10/14,USA,2.3,78
Getting Schooled (2017), Comedy| Horror,2017/02/07,USA,3,83
The Cursed Man (2016), Horror| Thriller,2016/10/31,USA,7.9,90
Evil in Her (2017), Horror,2017/03/10,USA,3.5,104
Escaping the Dead (2017), Horror,2017/08/17,USA,7.3,-1
Lord of Darkness (2012), Horror| Thriller,2013/02/23,USA,4.5,90
Bloody Homecoming (2013), Horror,2014/11/01,Poland,3.6,82
Bacchanalia (2017), Comedy| Horror,2017/10/10,USA,5.8,101
Applecart (2015), Crime| Drama| Horror,2015/03/10,USA,6.4,-1
Welcome to the Circle (2017), Horror,2017/01/01,USA,-1,-1
Ao oni (2014), Horror,2014/07/05,Japan,4.3,-1
Hitchhiker Massacre (2017), Horror,2017/04/03,USA,7.4,-1
Kotoko (2011), Drama| Horror,2012/03/02,USA,6.7,91
Michael Myers: Absolute Evil (2016), Horror,2016/03/31,USA,8.3,93
The Nest of the Cuckoo Birds (1965), Drama| Horror,2017/10/16,France,5.3,81
Silent But Deadly (2011), Comedy| Horror,2013/09/24,USA,3.6,80
Bloodlands (2017), Drama| Horror| Thriller,2017/02/25,UK,6.4,82
Quad X: The Porn Movie Massacre (2015), Action| Comedy| Horror,2015/05/16,USA,5.7,89
Take 2: The Audition (2015), Horror,2015/02/01,USA,9.3,-1
First Man on Mars (2016), Comedy| Horror| Sci-Fi,2016/09/27,USA,6.1,77
Blood Is Blood (2016), Horror| Thriller,2016/08/01,USA,5.4,80
Blood Kisses (2012), Drama| Horror| Mystery| Romance| Thriller,2012/11/15,USA,4.2,72
The Hounds (2011), Crime| Horror| Thriller,2013/01/20,USA,3.4,87
Mortal Remains (2013), Horror| Mystery| Thriller,2013/10/13,USA,8.3,95
Ascension (2016), Horror| Sci-Fi| Thriller,2016/07/10,USA,-1,-1
Saturday Morning Mystery (2012), Comedy| Horror,2012/06/16,USA,4.4,83
Buzzard Hollow Beef (2017), Horror,2017/09/24,USA,-1,75
Sanatorium (2013), Horror| Thriller,2013/10/18,USA,5,90
Tarot (2015), Drama| Horror| Mystery| Romance| Thriller,2015/05/07,Indonesia,7.5,119
The Night Watchman (2016), Drama| Horror| Thriller,2016/07/29,Spain,4.2,94
Gorenos (2016), Horror,2016/01/01,USA,6.1,81
Exit 14 (2016), Horror,2017/04/05,USA,3.8,-1
A Night in the Woods (2011), Horror| Mystery,2012/09/07,UK,3.7,82
Orgy of the Damned (2010), Fantasy| Horror| Thriller,2016/05/25,USA,5.7,92
Pig Girl (2014), Horror,2014/03/11,USA,6.8,-1
Egomaniac (2016), Comedy| Horror,2016/08/28,UK,5.4,72
Dreaming Purple Neon (2016), Horror,2016/10/31,USA,7.7,-1
X Moor (2014), Horror,2014/10/10,USA,3.9,76
Ghost Shark 2: Urban Jaws (2015), Drama| Horror| Sci-Fi| Thriller,2015/07/01,USA,4.1,70
Chip & Bernie's Zomance (2015), Adventure| Comedy| Horror,2015/10/17,USA,5,70
Rockabilly Zombie Weekend (2013), Horror,2013/02/17,USA,3.7,88
Eden Lodge (2015), Horror| Mystery| Thriller,2015/08/24,UK,3.5,80
Bunker of the Dead (2015), Action| Comedy| Horror,2016/02/18,Russia,3.8,76
The Final Project (2016), Horror| Thriller,2016/03/04,USA,2.7,82
Housewife Alien vs. Gay Zombie (2017), Comedy| Horror,2017/10/09,Sweden,-1,-1
Bangunan (2015), Horror,2015/02/05,Malaysia,6.5,-1
Johann Karlo's Gun Driver (2016), Action| Adventure| Fantasy| Horror| Sci-Fi| Western,2016/09/01,USA,9.3,52
Lapachhapi (2017), Drama| Horror| Mystery| Thriller,2017/07/14,India,8.3,120
The Taking (2013), Horror| Thriller,2013/04/13,Australia,2,77
Morituris (2011), Horror,2015/09/08,USA,4,-1
Dark Amazon (2014), Adventure| Horror| Thriller,2014/01/01,USA,4.3,81
Darkside Witches (2015), Horror,2015/04/07,USA,4.7,89
Ilawod (2017), Horror,2017/01/18,Philippines,7.2,95
Cat Sick Blues (2015), Horror,2016/09/21,Australia,5.6,101
Asylum (2014), Horror,2015/06/02,USA,2.6,93
Canaries (2017), Comedy| Horror| Sci-Fi,2017/08/26,UK,7.9,84
Local God (2014), Horror,2015/05/14,Uruguay,5.9,90
Exchange (2015), Crime| Horror| Thriller,2015/09/10,South Korea,5.8,96
Make Me Shudder (2013), Comedy| Horror,2013/10/03,Thailand,5.2,105
Geethanjali (2014), Comedy| Horror,2014/08/08,India,6.5,135
Countdown (2012), Horror| Thriller,2014/03/25,USA,6.5,90
Spirit in the Woods (2014), Horror| Mystery,2014/03/15,USA,5.3,79
Alarmed (2014), Horror| Thriller,2014/01/01,USA,3.4,90
Masks (2011), Horror| Mystery| Thriller,2016/09/13,USA,5.8,112
She Who Must Burn (2015), Drama| Horror| Thriller,2015/07/26,Canada,4.9,90
Sickle (2015), Horror,2015/03/28,USA,5.8,89
No dormirás (2017), Horror| Thriller,2017/01/01,Spain,-1,-1
Chicago Rot (2016), Drama| Horror| Sci-Fi| Thriller,2017/04/04,USA,6.9,100
The Debutantes (2017), Horror,2017/10/04,Philippines,5,90
Jackson Durai (2016), Comedy| Horror,2016/07/01,India,4.7,134
Stomping Ground (2014), Comedy| Horror,2015/12/24,Kuwait,5.1,80
Alpha Girls (2013), Action| Horror| Sci-Fi,2013/09/01,USA,3.4,90
Snake Club: Revenge of the Snake Woman (2013), Action| Fantasy| Horror| Sci-Fi,2013/05/31,Germany,3.1,-1
Transhuman (2017), Horror,2017/07/11,USA,4.4,88
Shock (2016), Horror,2016/10/31,USA,3.4,69
Accidental Exorcist (2016), Horror,2016/06/24,USA,4.1,-1
Adi Kapyare Kootamani (2015), Comedy| Horror,2015/12/25,India,6.2,131
The Black Water Vampire (2014), Horror| Mystery| Thriller,2014/01/21,USA,4.2,82
Blood-C: The Last Dark (2012), Animation| Action| Adventure| Fantasy| Horror| Mystery,2012/06/02,Japan,6.1,107
The Lurking Man (2017), Drama| Horror| Mystery| Thriller,2017/04/18,USA,8.4,90
Keeper of Darkness (2015), Horror| Thriller,2015/11/26,Hong Kong,5.9,105
Truth (2014), Horror| Sci-Fi| Thriller,2014/01/01,USA,4.5,96
Skull Forest (2012), Action| Adventure| Horror| Thriller,2012/06/09,USA,2.9,74
Voices from the Grave (2014), Horror,2014/08/31,USA,4.1,87
Souleater (2017), Horror,2017/01/17,USA,6.1,-1
Fantasma (2017), Horror| Thriller,2017/05/01,USA,7.6,-1
Hell's Caretaker (2013), Horror| Thriller,2013/07/28,USA,4.2,75
Locked (2013), Horror| Thriller,2013/02/01,USA,8.8,95
Amityville Creation (2017), Horror,2017/01/01,USA,-1,-1
Dead Woman's Hollow (2013), Crime| Drama| Horror| Romance| Thriller,2013/09/24,USA,5.3,106
Horrorween (2011), Comedy| Horror,2012/10/26,USA,5.6,-1
Theatre of Fear (2014), Horror,2015/03/25,USA,3.9,90
Grave Secrets (2013), Drama| Family| Horror,2013/10/06,USA,7.9,75
Conjoined (2013), Horror,2013/09/27,USA,6.4,77
The Laughing Mask (2014), Crime| Horror| Thriller,2014/10/31,USA,6.9,101
Afterparty (2013), Horror,2013/09/13,Spain,3.8,78
Kubot: The Aswang Chronicles 2 (2014), Action| Comedy| Horror,2015/04/22,Cambodia,7.4,105
Crone Wood (2016), Horror| Thriller,2016/10/30,Ireland,7.5,86
Survival Instinct (2016), Action| Horror| Thriller,2016/06/13,UK,3.2,75
Aadupuliyattam (2016), Horror,2016/05/20,India,4.2,145
Big Bad Bugs (2012), Action| Adventure| Comedy| Horror| Sci-Fi| Thriller,2012/12/29,Russia,2.2,95
White Raven (2015), Adventure| Drama| Horror| Thriller,2017/05/23,Canada,5.3,94
Videoclub (2013), Action| Horror| Romance,2014/01/30,Chile,4.9,-1
Sebastian (2011), Action| Horror| Mystery,2012/04/14,USA,4.9,108
Safe Inside (2017), Horror,2017/06/21,USA,5,91
Predatory Moon (2017), Horror,2017/10/01,USA,-1,90
Amnesiac (2013), Drama| Horror| Thriller,2013/03/01,UK,3,90
The Biker Warrior Babe vs. The Zombie Babies from Hell (2014), Horror,2014/11/01,USA,3.6,79
Münafik (2015), Drama| Horror| Thriller,2015/04/03,Turkey,4.8,-1
Bloody Snow (2016), Horror,2016/08/25,USA,3.2,61
Awaiting (2015), Drama| Horror| Thriller,2015/03/01,Portugal,4.7,95
Tin Can Man (2007), Horror,2012/03/01,Ireland,6.5,-1
Die Die Delta Pi (2013), Horror,2013/06/21,USA,4.2,78
Return to Blood Fart Lake (2012), Horror,2012/02/21,USA,4.5,72
Art School of Horrors (2015), Comedy| Horror,2015/10/29,USA,6.8,-1
Caesar and Otto's Deadly Xmas (2012), Comedy| Horror,2012/06/30,USA,4.1,83
Gravedigger (2013), Horror| Thriller,2013/01/01,USA,5.6,75
Alice: Boy from Wonderland (2015), Fantasy| Horror| Mystery| Romance,2015/07/18,South Korea,6.6,122
Grim Reapers (2014), Horror| Mystery| Thriller,2014/09/27,USA,3.7,82
A New Beginning (2017), Drama| Horror| Thriller,2017/01/01,USA,-1,-1
Dead End 2 (2016), Horror,2016/10/31,USA,5.7,-1
"Buy Now, Die Later (2015)", Horror,2015/12/25,Philippines,5.3,118
Sexual Labyrinth (2017), Horror,2017/04/26,Italy,-1,68
Croczilla (2012), Action| Comedy| Horror| Drama| Thriller,2012/06/08,China,4.2,90
Athena (2015), Drama| Horror| Thriller,2015/01/01,USA,6.5,98
SOS: Save Our Skins (2014), Comedy| Horror,2014/04/04,USA,5.4,98
RiffTrax Live: Birdemic - Shock and Terror (2012), Comedy| Horror,2012/10/25,USA,7.3,110
Prema Katha Chitram (2013), Drama| Horror,2013/06/07,USA,7.2,130
"Strasek, der Vampir (1982)", Horror,2014/07/01,Switzerland,3.2,70
Goose Bumps: The Movie (2012), Horror,2012/09/13,Japan,6.1,87
The Living Dead (2017), Action| Horror| Thriller,2017/03/22,Russia,1.7,46
Pitfire of Hell (2016), Comedy| Horror,2016/04/30,USA,7.1,-1
Demon Legacy (2014), Horror,2014/05/19,UK,3.4,93
Ghostfinders (2015), Horror,2015/05/05,USA,3.4,90
Hole in the Wall (2014), Horror,2014/09/26,USA,4.3,79
Bugs (2014), Comedy| Horror,2014/10/10,China,3.1,82
Rape Zombie: Lust of the Dead 2 (2013), Horror,2014/02/11,USA,4.1,67
Crazy Murder (2014), Horror,2014/10/29,USA,5.1,93
The Returned (2017),,2017/01/01,USA,-1,-1
Astro Zombies: M4 - Invaders from Cyberspace (2012), Comedy| Horror| Sci-Fi,2012/01/01,USA,4.7,90
Aurora (2016), Horror,2016/01/01,Brazil,-1,-1
Sonyeogoedam (2014), Comedy| Horror| Romance| Thriller,2014/07/02,South Korea,6.1,90
Der Blunzenkönig (2015), Comedy| Horror,2015/08/27,Austria,5.6,90
The Attachment (2016), Drama| Horror,2016/06/03,USA,3.2,108
Tunnel (2014), Horror,2014/08/20,South Korea,5.2,86
Seklusyon (2016), Horror,2016/12/25,Philippines,6.8,90
Hollow (2014), Drama| Horror| Mystery| Thriller,2014/07/18,Vietnam,5.8,99
The Demon's Rook (2013), Adventure| Fantasy| Horror,2013/10/13,USA,5.5,103
Tai Hong 2 (2014), Horror,2014/02/27,Taiwan,4.9,109
The Binman (2015), Horror| Thriller,2015/01/01,UK,7.4,-1
I wish I wish (2016), Horror,2017/10/14,USA,8.4,-1
I Didn't Come Here to Die (2010), Comedy| Horror,2012/01/07,USA,5.4,80
Ghost Rituals (2014), Horror,2014/07/10,Hong Kong,5.3,-1
The Witch hour: Curse of the ring (2017), Horror,2017/05/31,India,-1,-1
Chaar (2014), Drama| Horror| Mystery,2014/06/13,India,6.9,81
Lilith's Awakening (2016), Fantasy| Horror| Thriller,2016/06/11,USA,6.5,80
When Your Flesh Screams (2015), Horror| Thriller,2015/10/11,Argentina,3.9,-1
Bloody Bobby (2016), Comedy| Horror| Mystery,2016/10/06,USA,9,-1
Hollow's Ridge (2017), Horror| Sci-Fi,2017/01/01,USA,-1,-1
Blood on Méliès' Moon (2016), Horror,2016/01/01,Italy,5.5,125
House of Many Sorrows (2016), Horror| Thriller,2016/01/01,USA,-1,82
Memory of the Dead (2011), Comedy| Horror,2013/03/28,Argentina,5,89
Beast: A Monster Among Men (2013), Drama| Horror| Thriller,2013/10/01,USA,4.6,72
Maya (2015), Horror,2015/06/12,Pakistan,6.8,82
Disciples (2014), Horror,2014/09/12,USA,2.1,90
Toxin (2014), Action| Horror,2014/04/15,USA,2.4,73
Illusions (2015), Horror| Thriller,2016/01/01,USA,4.6,94
Avunu (2012), Horror| Thriller,2012/09/21,India,6.8,115
6:15 (2015), Action| Horror| Thriller,2015/04/01,USA,6.5,83
Hantu dalam botol kicap (2012), Comedy| Horror,2012/02/09,Malaysia,2.8,78
The Beast (2016), Horror| Mystery| Thriller,2016/01/01,USA,5.2,78
Zomvideo (2011), Comedy| Horror,2012/12/29,Japan,5.1,-1
Exscind (2016), Horror,2016/01/01,USA,3.2,80
Seytan-i racim (2013), Horror| Thriller,2013/09/13,Turkey,3.8,97
Phobia (2013), Horror| Thriller,2013/09/01,USA,3.3,91
Chopping Block (2016), Comedy| Horror,2016/08/30,USA,5,82
Frost Bite (2012), Action| Horror,2012/02/17,USA,3.3,93
Hüddam (2015), Horror| Mystery,2015/11/20,Turkey,5.5,-1
Wonder Valley (2015), Horror,2013/10/31,USA,4.7,71
Binhi (2015), Horror,2015/05/20,Philippines,4.2,-1
The Brain Hunter (2013), Horror,2015/11/15,USA,7.3,85
Evil Souls (2015), Horror,2015/10/01,UK,2.7,92
Night Kaleidoscope (2017), Horror,2017/02/04,USA,4.5,83
Dracula A.D. 2015 (2015), Horror,2015/06/13,USA,8.4,59
Doc. 33 (2012), Horror| Mystery| Thriller,2012/01/01,Italy,6.6,63
Abed (2012), Horror,2012/10/18,USA,6.5,50
Basement (2014), Drama| Horror,2014/02/12,Philippines,5.1,90
The Scarapist (2015), Crime| Horror| Thriller,2016/08/09,USA,8.3,81
The Other One (2014), Drama| Horror| Mystery| Thriller,2014/04/04,USA,6.5,94
Bill Huckstabelle: Serial Rapist (2015), Horror,2015/11/07,USA,5.9,-1
The Blackout (2009), Horror| Sci-Fi| Thriller,2012/09/30,Spain,3.4,80
Asian Ghost Story (2016), Action| Horror,2016/10/31,USA,3.1,75
Crack Whore (2012), Comedy| Horror,2015/01/01,USA,6.8,69
Christmas Cruelty! (2013), Horror,2013/12/13,Norway,6.3,96
Impuratus (2017), Horror,2017/07/10,India,-1,-1
Doctor (2012), Crime| Horror| Mystery| Thriller,2013/06/20,South Korea,5,97
Theatre of the Deranged II (2013), Comedy| Horror| Thriller,2013/01/01,USA,5.4,91
The Cleaning Lady (2017), Horror| Thriller,2017/01/01,USA,-1,-1
Serial Kaller (2014), Horror,2014/10/01,UK,4.4,95
Truth or Double Dare (TODD) (2017), Horror,2017/10/30,USA,-1,-1
Double Booked (2014), Drama| Horror| Thriller,2015/10/22,Canada,6.3,102
Tuyul: Part 1 (2015), Horror,2015/04/09,Indonesia,6.3,95
The Spawning (2017), Horror| Sci-Fi,2017/07/01,UK,-1,-1
American Exorcist, Horror,2017/01/01,USA,-1,-1
Savage Love (2012), Adventure| Horror| Mystery,2012/05/18,Germany,3.2,88
Creepy Campfire Stories (2015), Horror,2015/10/19,Germany,4.7,76
The Haunting of Baylock Residence (2014), Horror| Thriller,2014/02/25,UK,4.9,70
Mummy Save Me (2016), Horror,2016/12/02,India,7.1,131
Eyang Kubur (2013), Comedy| Horror,2013/11/28,Indonesia,5.8,80
Pretham Undu Sookshikkuka (2017), Comedy| Horror,2017/06/30,India,6.8,141
Zombie Ninjas vs Black Ops (2015), Action| Adventure| Horror,2015/10/01,USA,3.4,94
Meathook Massacre 3: First Hunt (2017), Horror,2017/10/01,USA,-1,63
Evil Exhumed (2016), Horror,2016/06/01,USA,2.8,76
The Killing Games (2012), Drama| Horror| Thriller,2014/04/22,Canada,4.4,101
The Red Man (2016), Horror| Mystery,2016/10/25,USA,6.1,98
Seekers (2016), Horror,2016/03/18,Germany,3.1,90
Slash (2013), Crime| Drama| Horror| Thriller,2013/09/09,USA,7.4,79
Nocturnal Activity (2014), Horror| Sci-Fi,2015/08/25,USA,1.9,80
R: Rage of the Zombies (2017), Horror,2017/07/01,New Zealand,-1,-1
The Girl in the Cornfield (2016), Horror| Mystery,2016/05/13,USA,4.3,81
Poignant (2016), Horror| Thriller,2016/01/01,France,3.8,-1
Chung Cu Ma (2014), Comedy| Horror,2014/12/24,Vietnam,5.4,115
American Slasher (2014), Crime| Drama| Horror| Mystery| Thriller,2014/02/01,USA,4.9,70
Brutal Colors (2015), Drama| Horror| Thriller,2015/06/23,USA,3.4,74
Alone in the Ghost House (2015), Horror,2015/06/05,USA,5.1,82
Sunshine Girl and the Hunt for Black Eyed Kids (2012), Adventure| Horror| Thriller,2012/12/20,USA,5.2,87
Fall of Grace (2017), Horror,2017/10/03,USA,8.2,-1
Make Them Die Quickly (2016), Horror,2016/01/31,USA,-1,-1
The Orange Man (2015), Comedy| Horror,2015/01/01,USA,3.5,95
Keep Running. Zombie Soldier! (2015), Comedy| Horror,2015/01/22,Thailand,4.6,-1
An American Exorcism (2017), Horror,2017/08/01,UK,-1,-1
Club Dead (2015), Horror,2015/11/01,USA,3.4,-1
Rumah kentang (2012), Horror,2012/10/04,Indonesia,6.1,102
The Stray (2016), Horror| Thriller,2016/03/05,USA,6.9,90
Almost Dead (2016), Drama| Horror| Thriller,2016/01/01,Italy,4.6,-1
3 Days Till Darkness (2017), Horror,2017/10/27,USA,-1,-1
O Sthree Repu Raa (2016), Horror,2016/03/11,India,4.6,120
Dogman 2: The Wrath of the Litter (2014), Drama| Horror| Thriller,2014/10/31,USA,5,87
Hobo with a Trash Can (2015), Action| Comedy| Horror| Sci-Fi,2015/06/14,USA,5.7,89
Ar Ma (2016), Comedy| Horror,2016/08/25,Thailand,3.5,-1
Last Weekend (2017), Horror,2017/07/10,UK,-1,-1
Hybris (2015), Horror| Mystery| Thriller,2015/05/28,Italy,5.3,83
Haunted Campus (2016), Horror| Thriller,2016/07/02,Japan,5.9,93
Hello Naan Pei Pesuren (2016), Comedy| Horror,2016/04/01,India,4,110
Community Service the Movie (2012), Horror,2012/07/21,USA,6,69
Phobia (2013), Horror| Mystery| Thriller,2014/11/25,USA,3.5,84
Mold! (2012), Horror| Sci-Fi,2013/05/21,USA,5,-1
Ovulation (2013), Drama| Horror| Thriller,2013/09/28,USA,7.5,45
Amerikan Violence (2014), Crime| Drama| Horror| Thriller,2014/09/01,USA,7.9,-1
Vampire Camp (2012), Comedy| Horror,2012/07/16,USA,6.7,-1
The G-string Horror (2012), Horror| Mystery| Thriller,2012/12/05,USA,3.5,74
Hypnagogic (2015), Drama| Horror| Thriller,2015/01/01,USA,4,51
Aftermath (2012), Action| Horror,2012/10/31,USA,5.3,105
Sleep Eaters (2017), Horror,2017/04/01,USA,-1,-1
Nenek gayung (2012), Comedy| Horror,2012/04/19,Indonesia,3.8,79
Reclusion (2012), Horror| Thriller,2012/01/01,USA,5.2,84
American Maniacs (2012), Drama| Horror| Thriller,2012/01/01,USA,3.3,-1
Zombie with a Shotgun (2017), Action| Horror| Romance,2017/01/01,USA,-1,-1
Empire State of the Dead (2016), Horror,2016/05/28,USA,5.7,-1
Viral (2013), Comedy| Horror| Thriller,2013/11/29,Spain,4.5,95
The Last Halloween (2014), Horror,2014/10/24,USA,7.2,-1
The Killer Unicorn (2017), Horror,2017/01/01,USA,-1,-1
Rudyard Kipling's Mark of the Beast (2012), Horror,2012/10/23,USA,5.2,-1
The Final Exit (2017), Horror,2017/09/22,India,-1,-1
Die Laughing (2017), Biography| Comedy| Horror,2017/09/11,USA,6.5,69
7 Faces of Jack the Ripper (2014), Horror,2014/08/01,USA,3.4,-1
Voidfinder (2017), Horror| Thriller,2017/01/01,USA,7.8,106
Dracula's Angel (2014), Animation| Horror| Romance| Thriller,2014/10/10,USA,4,87
The House That Never Dies (2014), Drama| Horror| Mystery| Romance| Thriller,2014/07/18,China,4.6,90
Frostbite (2013), Horror,2013/06/15,USA,4.2,90
I Miss U (2012), Horror| Romance,2012/05/31,Thailand,5.7,118
Deadly Punkettes (2014), Drama| Horror| Thriller,2014/08/09,USA,4.2,80
Zlo (2012), Horror,2012/04/12,Slovakia,4.8,-1
Things Fall Apart (2017), Drama| Horror| Thriller,2017/07/21,Germany,-1,80
The Locksmith (2017), Horror,2017/05/12,USA,-1,90
Helak: Kayip Köy (2015), Horror| Thriller,2015/05/22,Turkey,4.1,-1
Mad Mutilator (1983), Horror,2012/12/04,France,4.4,90
Moonshine Meat Market Mayhem (2016), Action| Adult| Comedy| Horror| Sci-Fi| Western,2017/05/01,USA,5.2,-1
Abolition (2011), Horror,2012/10/23,USA,4.7,82
Hyde's Secret Nightmare (2011), Horror,2012/01/13,Italy,5.8,122
Blood Slaughter Massacre (2013), Horror| Thriller,2013/05/19,USA,4.7,125
Carver (2015), Horror| Mystery| Thriller,2015/01/01,USA,5,75
Cheerleader Camp: To the Death (2014), Horror,2014/10/13,USA,3.5,70
The Eve (2015), Horror| Thriller,2015/04/24,USA,4,90
Spook (2017), Horror,2017/08/13,USA,-1,-1
Crazed (2014), Action| Adventure| Horror| Thriller,2015/03/27,USA,5,98
Camp Death III: The Final Summer (2017), Comedy| Horror,2017/01/01,Canada,-1,93
"Daddy, I'm a Zombie (2011)", Animation| Comedy| Fantasy| Horror,2012/01/10,Spain,4.5,80
Singular Cay (2012), Horror,2012/12/14,Hong Kong,3.5,88
Take Back the Knife (2015), Action| Comedy| Horror,2015/01/31,USA,-1,80
The Watermen (2012), Horror| Thriller,2012/06/20,Brazil,3,94
Veil (2017), Crime| Drama| Horror| Thriller,2017/02/14,USA,6.4,74
The Incredible Truth (2013), Horror,2013/04/28,China,3.7,91
The Thing on the Doorstep (2014), Horror| Mystery| Thriller,2014/01/01,USA,3.8,89
Darr @ the Mall (2014), Horror| Thriller,2014/02/21,India,5,124
The Complex (2013), Horror,2013/05/18,Japan,5.2,106
Queen of Blood (2014), Horror,2014/04/04,USA,5.2,78
Zombie Fever (2013), Comedy| Horror,2013/08/15,Russia,2.1,-1
Midnight Hair (2014), Horror| Mystery,2014/01/01,China,5.3,95
Breath of Hate (2011), Drama| Horror| Romance,2015/01/01,USA,4.5,-1
Turtle Island (2013), Horror| Thriller,2013/01/01,USA,6.4,80
Zombie Mutation (2012), Horror,2012/11/04,UK,6.6,80
Azap (2015), Horror| Thriller,2015/12/11,Turkey,5.6,-1
Doll Murder Spree (2017), Horror,2017/10/24,USA,-1,80
Paranormal Sex Tape (2016), Horror,2016/05/24,USA,2.5,71
Poltergeist Encounters (2016), Horror,2016/10/08,Canada,3.3,80
Show Yourself (2016), Drama| Horror,2016/04/02,USA,8.6,79
Chad's Dental Nightmare (2017), Horror,2017/10/31,USA,-1,60
The Lurking (2015), Horror,2015/12/10,USA,6,61
The Last Revenants (2017), Horror,2017/08/10,USA,5.6,96
Sleeper (2012), Action| Horror,2012/06/26,USA,3.9,86
Nightscape (2012), Fantasy| Horror| Thriller,2015/06/26,Germany,3,89
Dark Prism (2015), Comedy| Fantasy| Horror| Sci-Fi,2015/01/01,USA,4,106
Billy Club (2013), Comedy| Horror,2013/10/01,USA,5.6,94
Kill That Bitch (2014), Horror,2014/02/04,USA,4.7,68
Across the River (2013), Horror| Mystery| Thriller,2014/05/08,Germany,5.5,92
Deadly Waters (2015), Horror,2015/06/01,UK,4.7,-1
*69 (2016), Horror| Mystery| Thriller,2016/07/01,USA,3.9,-1
The Black Dahlia Haunting (2012), Crime| Drama| Horror| Mystery,2013/07/01,Canada,5,80
The Power (2015), Horror,2015/01/01,UK,6.5,-1
Demimonde (2017), Horror| Mystery| Romance,2017/01/01,USA,-1,-1
Portrait of a Zombie (2012), Comedy| Drama| Horror,2012/03/03,USA,3.6,89
The Night-Time Winds (2017), Drama| Horror| Thriller,2017/09/22,USA,-1,45
Where Demons Dwell: The Girl in the Cornfield 2 (2017), Horror| Mystery| Thriller,2017/01/13,USA,5.6,140
The Terrible Two (2017), Horror| Thriller,2017/01/01,USA,-1,84
Harold's Going Stiff (2011), Comedy| Horror,2012/08/07,UK,5.7,77
Abandoned in the Dark (2014), Horror| Thriller,2014/11/08,USA,5.8,83
A Dark Place Inside (2014), Horror,2014/02/01,USA,4.1,80
Blood Demon Rising (2017), Horror| Thriller,2017/02/17,USA,4.9,93
A Haunting at the Rectory (2015), Horror,2015/06/08,UK,3.5,88
Furry Nights (2016), Horror,2016/11/30,USA,8.2,-1
Morgana (2012), Horror,2012/08/03,Mexico,3.7,90
Red Summer (2017), Horror,2017/03/01,USA,6.4,105
Beyond the Grave (2010), Action| Crime| Horror| Western,2015/02/13,USA,4.2,89
Our Bloody Hallows Eve (2017), Crime| Horror| Thriller,2017/10/31,USA,-1,-1
Unholy (2015), Drama| Horror| Thriller,2015/10/25,UK,5.8,82
Attack of the Herbals (2011), Comedy| Horror,2012/09/04,USA,3.6,81
Los muertos (2017), Horror,2017/09/01,USA,-1,90
Area 407: Part Two (2013), Horror| Thriller,2013/11/27,USA,4,-1
Haunted Trailer (2014), Comedy| Horror,2014/07/22,USA,4.4,90
Camp Blood First Slaughter (2014), Horror| Thriller,2014/05/20,USA,3.1,72
The Rooms (2014), Horror,2014/03/27,Thailand,5.7,-1
Entity (2013), Drama| Horror| Thriller,2013/09/03,USA,3.6,107
Sledge (2014), Horror,2014/09/02,USA,4.6,75
Marianne (2011), Drama| Fantasy| Horror| Thriller,2013/07/03,USA,4.9,103
Red Christmas (2014), Horror,2014/12/09,USA,6.1,60
Psychotic (2012), Action| Horror| Thriller,2015/03/03,USA,3.9,80
Death-Scort Service Part 2: The Naked Dead (2017), Horror,2017/04/07,USA,5.2,-1
Fly on the Wall (2017), Action| Crime| Horror| Thriller,2017/06/27,USA,-1,89
Night People (2015), Horror| Sci-Fi| Thriller,2016/05/09,USA,4.3,108
Hi5teria (2012), Horror| Mystery,2012/03/29,Indonesia,6.9,94
The Ungovernable Force (2015), Action| Adventure| Comedy| Horror| Sci-Fi| Thriller,2015/01/01,USA,6.5,101
Lebuhraya Ke Neraka (2017), Drama| Horror,2017/05/04,Malaysia,-1,83
Test Group (2015), Drama| Horror,2015/01/01,USA,4.8,163
Headless (2014), Drama| Horror| Thriller,2014/08/22,USA,5.9,71
She's Allergic to Cats (2016), Comedy| Horror| Romance,2016/06/18,USA,6.4,82
Gehenna: Darkness Unleashed (2015), Horror,2015/10/25,USA,-1,120
Hana-Dama: The Origins (2014), Horror,2014/01/18,Japan,5.5,-1
Socialistický Zombi Mord (2014), Horror,2014/04/25,Slovakia,6,94
A Touch Unseen (2014), Horror,2014/05/01,USA,5.2,82
Air terjun pengantin phuket (2013), Horror| Thriller,2013/01/31,Indonesia,5.4,83
Like a Bat Outta Hell (2013), Drama| Horror| Thriller,2015/05/27,Philippines,4.2,92
Aaaah (2014), Adventure| Horror| Thriller,2014/11/28,India,5.7,138
Mohini (2017), Horror,2017/01/01,India,-1,-1
The Midnight Matinee (2017), Horror| Mystery| Thriller,2017/05/19,USA,6.5,46
House of Whores (2015), Horror,2015/07/01,USA,7.5,55
Realm of Souls (2013), Horror,2013/09/27,USA,4.5,118
The Slayers (2015), Comedy| Horror,2016/01/01,UK,9,101
The Jokesters (2015), Comedy| Horror| Thriller,2015/07/21,USA,5.2,70
"Silent Night, Bloody Night 2: Revival (2015)", Horror,2015/03/15,USA,3.5,90
The Devils Door (2016), Horror,2016/05/20,USA,8.2,-1
