Title,Genres,Release Date,Release Country,Review Rating,Movie Run Time
Loverboy (2012), Horror| Thriller,2012/03/17,USA,5.1,93
The Litch (2017), Horror,2017/01/01,USA,-1,-1
House with 100 Eyes (2013), Horror,2013/01/01,USA,4.6,75
3 A.M. 3D: Part 2 (2014), Horror,2014/01/16,Thailand,5.1,105
Da Possessed (2014), Comedy| Horror,2014/04/19,Philippines,5.9,120
Sacrament (2014), Drama| Horror| Thriller,2014/07/07,USA,3.5,105
Angels Fallen (2017), Horror,2017/01/01,USA,-1,-1
Bilocation (2013), Drama| Horror| Mystery,2014/01/18,Japan,6.3,-1
Visitantes (2014), Horror,2014/12/18,Mexico,4.9,100
Dracula 2012 (2013), Horror,2013/02/08,India,2.5,137
The House Across the Street (2013), Horror| Thriller,2015/04/10,USA,3.5,93
Grimmerson Manor (2017), Horror| Thriller,2017/10/31,USA,-1,-1
Murder in Miami (2014), Horror| Mystery| Thriller,2014/02/18,USA,5.4,87
Mumbai 125 KM 3D (2014), Adventure| Horror| Mystery| Thriller,2014/10/17,India,2.9,100
The Nanabijou Tapes (2014), Horror| Mystery| Thriller,2014/08/15,USA,7.9,80
Bad Building (2015), Horror,2015/08/06,USA,3,75
The Flaying (2012), Fantasy| Horror| Thriller,2012/07/17,Argentina,4.9,80
Bunni (2013), Horror,2013/09/14,USA,4.2,60
Seventy-Nine (2013), Action| Horror| Mystery| Sci-Fi| Thriller,2017/06/08,USA,3.8,82
Hush Up Sweet Charlotte (2015), Comedy| Horror,2015/10/16,USA,6.6,95
Paranoia Tapes (2017), Horror,2017/07/11,USA,4.7,92
Valentine DayZ (2017), Horror,2017/01/01,USA,-1,-1
Voodoo Possession (2014), Drama| Horror| Mystery,2014/01/14,USA,2.4,94
Diane (2017), Crime| Drama| Horror| Mystery| Thriller,2017/10/28,USA,5.6,82
Entrance (2012), Drama| Horror| Thriller,2012/05/18,USA,4.8,83
7th and Westlake: Nino's Revenge (2017), Horror,2017/10/31,USA,-1,-1
1920: Evil Returns (2012), Drama| Horror| Romance,2012/11/02,India,4.9,124
308 (2013), Horror| Mystery| Thriller,2013/06/05,Indonesia,6.8,-1
Stab 7: Knife of the Hunter (2013), Comedy| Horror| Thriller,2013/10/31,USA,7.4,-1
Deep Sleep (2013), Horror| Thriller,2013/10/27,USA,4.8,67
The Eyes Diary (2014), Horror| Romance,2014/10/30,Thailand,5.4,-1
The Sea Serpent (1985), Adventure| Horror,2015/06/29,USA,3.5,92
My Boo (2013), Horror,2013/04/01,USA,4.3,78
Don't Look (2017), Horror,2017/01/01,USA,-1,71
Bhoot Returns (2012), Horror| Mystery| Thriller,2012/10/12,India,2.5,85
Calling Bell (2015), Horror,2015/03/21,India,-1,-1
A Vampire's Tale (2009), Horror| Western,2012/10/17,UK,3.1,-1
Clash of the Dead (2015), Horror,2016/07/05,USA,3.3,80
Den of Darkness (2016), Horror| Thriller,2016/02/20,USA,3.4,91
The Moleman of Belmont Avenue (2013), Comedy| Horror,2013/09/10,USA,5.3,-1
Blind Sun (2015), Horror| Mystery,2016/04/20,France,5.6,88
HazMat (2013), Horror| Thriller,2014/03/11,USA,3.8,80
Elliot (2017), Fantasy| Horror| Sci-Fi,2017/01/01,USA,-1,-1
Dogged (2017), Horror,2017/01/01,UK,-1,116
Siyaah.. (2013), Horror| Thriller,2013/03/15,Pakistan,6.7,-1
The Lurking (2015), Horror,2015/12/10,USA,6,61
La Petite Mort II (2014), Horror| Thriller,2014/09/14,Germany,3.6,90
Hotel de Sade (2013), Drama| Horror| Thriller,2013/12/04,Taiwan,4.3,100
Brutal (2014), Action| Drama| Horror| Sci-Fi| Sport,2014/01/05,USA,2.9,90
Hitler Lives! (2017), Horror,2017/06/01,USA,-1,-1
Not Another Zombie Movie....About the Living Dead (2014), Action| Comedy| Horror,2014/10/31,USA,5.4,79
Grindsploitation 2: The Lost Reels (2016), Horror,2016/10/31,USA,7.3,-1
Billy's Got a Bad Brain (2017), Comedy| Horror| Sci-Fi,2017/10/15,USA,-1,76
Attila (2013), Action| Horror| Thriller,2013/12/31,USA,1.9,85
Vilsen (2016), Action| Crime| Drama| Horror| Thriller,2016/10/17,Sweden,6.4,-1
Ghost (2012), Horror,2012/01/13,India,2.3,118
Skookum: The Hunt for Bigfoot (2016), Horror,2016/12/01,USA,5.3,100
Beautiful Prison (2016), Drama| Horror| Romance| Thriller,2016/07/12,USA,4.4,83
Willa (2012), Drama| Horror| Romance,2013/06/28,USA,6.4,82
Exit to Hell (2013), Action| Horror| Thriller,2013/11/05,USA,3.4,81
Kimmy Dora and the Temple of Kiyeme (2012), Comedy| Horror,2012/06/13,Philippines,6.4,105
Home Video (2015), Horror,2015/10/15,USA,2.3,80
RIP (2017), Comedy| Horror,2017/10/12,Spain,8.7,16
