Title,Genres,Release Date,Release Country,Review Rating,Movie Run Time
The Hounds (2011), Crime| Horror| Thriller,20-Jan-13,USA,3.4,87 min
Mortal Remains (2013), Horror| Mystery| Thriller,13-Oct-13,USA,8.3,95 min
Ascension (2016), Horror| Sci-Fi| Thriller,10-Jul-16,USA,,
Saturday Morning Mystery (2012), Comedy| Horror,16-Jun-12,USA,4.4,83 min
Buzzard Hollow Beef (2017), Horror,24-Sep-17,USA,,75 min
Sanatorium (2013), Horror| Thriller,18-Oct-13,USA,5,90 min
Tarot (2015), Drama| Horror| Mystery| Romance| Thriller,7-May-15,Indonesia,7.5,119 min
The Night Watchman (2016), Drama| Horror| Thriller,29-Jul-16,Spain,4.2,94 min
Gorenos (2016), Horror,2016,USA,6.1,81 min
Exit 14 (2016), Horror,5-Apr-17,USA,3.8,
A Night in the Woods (2011), Horror| Mystery,7-Sep-12,UK,3.7,82 min
Orgy of the Damned (2010), Fantasy| Horror| Thriller,25-May-16,USA,5.7,92 min
Pig Girl (2014), Horror,11-Mar-14,USA,6.8,
Egomaniac (2016), Comedy| Horror,28-Aug-16,UK,5.4,72 min
Dreaming Purple Neon (2016), Horror,31-Oct-16,USA,7.7,
X Moor (2014), Horror,10-Oct-14,USA,3.9,76 min
Ghost Shark 2: Urban Jaws (2015), Drama| Horror| Sci-Fi| Thriller,1-Jul-15,USA,4.1,70 min
Chip & Bernie's Zomance (2015), Adventure| Comedy| Horror,17-Oct-15,USA,5,70 min
Rockabilly Zombie Weekend (2013), Horror,17-Feb-13,USA,3.7,88 min
Eden Lodge (2015), Horror| Mystery| Thriller,24-Aug-15,UK,3.5,80 min
Bunker of the Dead (2015), Action| Comedy| Horror,18-Feb-16,Russia,3.8,76 min
The Final Project (2016), Horror| Thriller,4-Mar-16,USA,2.7,82 min
Housewife Alien vs. Gay Zombie (2017), Comedy| Horror,9-Oct-17,Sweden,,
Bangunan (2015), Horror,5-Feb-15,Malaysia,6.5,
Johann Karlo's Gun Driver (2016), Action| Adventure| Fantasy| Horror| Sci-Fi| Western,1-Sep-16,USA,9.3,52 min
Lapachhapi (2017), Drama| Horror| Mystery| Thriller,14-Jul-17,India,8.3,120 min
The Taking (2013), Horror| Thriller,13-Apr-13,Australia,2,77 min
Morituris (2011), Horror,8-Sep-15,USA,4,
Dark Amazon (2014), Adventure| Horror| Thriller,2014,USA,4.3,81 min
Darkside Witches (2015), Horror,7-Apr-15,USA,4.7,89 min
Ilawod (2017), Horror,18-Jan-17,Philippines,7.2,95 min
Cat Sick Blues (2015), Horror,21-Sep-16,Australia,5.6,101 min
Asylum (2014), Horror,2-Jun-15,USA,2.6,93 min
Canaries (2017), Comedy| Horror| Sci-Fi,26-Aug-17,UK,7.9,84 min
Local God (2014), Horror,14-May-15,Uruguay,5.9,90 min
Exchange (2015), Crime| Horror| Thriller,10-Sep-15,South Korea,5.8,96 min
Make Me Shudder (2013), Comedy| Horror,3-Oct-13,Thailand,5.2,105 min
Geethanjali (2014), Comedy| Horror,8-Aug-14,India,6.5,135 min
Countdown (2012), Horror| Thriller,25-Mar-14,USA,6.5,90 min
Spirit in the Woods (2014), Horror| Mystery,15-Mar-14,USA,5.3,79 min
Alarmed (2014), Horror| Thriller,2014,USA,3.4,90 min
Masks (2011), Horror| Mystery| Thriller,13-Sep-16,USA,5.8,112 min
She Who Must Burn (2015), Drama| Horror| Thriller,26-Jul-15,Canada,4.9,90 min
Sickle (2015), Horror,28-Mar-15,USA,5.8,89 min
No dormirás (2017), Horror| Thriller,2017,Spain,,
Chicago Rot (2016), Drama| Horror| Sci-Fi| Thriller,4-Apr-17,USA,6.9,100 min
The Debutantes (2017), Horror,4-Oct-17,Philippines,5,90 min
Jackson Durai (2016), Comedy| Horror,1-Jul-16,India,4.7,134 min
Stomping Ground (2014), Comedy| Horror,24-Dec-15,Kuwait,5.1,80 min
Alpha Girls (2013), Action| Horror| Sci-Fi,1-Sep-13,USA,3.4,90 min
Snake Club: Revenge of the Snake Woman (2013), Action| Fantasy| Horror| Sci-Fi,31-May-13,Germany,3.1,
Transhuman (2017), Horror,11-Jul-17,USA,4.4,88 min
Shock (2016), Horror,31-Oct-16,USA,3.4,69 min
Accidental Exorcist (2016), Horror,24-Jun-16,USA,4.1,
Adi Kapyare Kootamani (2015), Comedy| Horror,25-Dec-15,India,6.2,131 min
The Black Water Vampire (2014), Horror| Mystery| Thriller,21-Jan-14,USA,4.2,82 min
Blood-C: The Last Dark (2012), Animation| Action| Adventure| Fantasy| Horror| Mystery,2-Jun-12,Japan,6.1,107 min
The Lurking Man (2017), Drama| Horror| Mystery| Thriller,18-Apr-17,USA,8.4,90 min
Keeper of Darkness (2015), Horror| Thriller,26-Nov-15,Hong Kong,5.9,105 min
Truth (2014), Horror| Sci-Fi| Thriller,2014,USA,4.5,96 min
Skull Forest (2012), Action| Adventure| Horror| Thriller,9-Jun-12,USA,2.9,74 min
Voices from the Grave (2014), Horror,31-Aug-14,USA,4.1,87 min
Souleater (2017), Horror,17-Jan-17,USA,6.1,
Fantasma (2017), Horror| Thriller,1-May-17,USA,7.6,
Hell's Caretaker (2013), Horror| Thriller,28-Jul-13,USA,4.2,75 min
Locked (2013), Horror| Thriller,1-Feb-13,USA,8.8,95 min
Amityville Creation (2017), Horror,2017,USA,,
Dead Woman's Hollow (2013), Crime| Drama| Horror| Romance| Thriller,24-Sep-13,USA,5.3,106 min
Horrorween (2011), Comedy| Horror,26-Oct-12,USA,5.6,
Theatre of Fear (2014), Horror,25-Mar-15,USA,3.9,90 min
Grave Secrets (2013), Drama| Family| Horror,6-Oct-13,USA,7.9,75 min
Conjoined (2013), Horror,27-Sep-13,USA,6.4,77 min
The Laughing Mask (2014), Crime| Horror| Thriller,31-Oct-14,USA,6.9,101 min
Afterparty (2013), Horror,13-Sep-13,Spain,3.8,78 min
Kubot: The Aswang Chronicles 2 (2014), Action| Comedy| Horror,22-Apr-15,Cambodia,7.4,105 min
Crone Wood (2016), Horror| Thriller,30-Oct-16,Ireland,7.5,86 min
Survival Instinct (2016), Action| Horror| Thriller,13-Jun-16,UK,3.2,75 min
Aadupuliyattam (2016), Horror,20-May-16,India,4.2,145 min
Big Bad Bugs (2012), Action| Adventure| Comedy| Horror| Sci-Fi| Thriller,29-Dec-12,Russia,2.2,95 min
White Raven (2015), Adventure| Drama| Horror| Thriller,23-May-17,Canada,5.3,94 min
Videoclub (2013), Action| Horror| Romance,30-Jan-14,Chile,4.9,
Sebastian (2011), Action| Horror| Mystery,14-Apr-12,USA,4.9,108 min
Safe Inside (2017), Horror,21-Jun-17,USA,5,91 min
Predatory Moon (2017), Horror,1-Oct-17,USA,,90 min
Amnesiac (2013), Drama| Horror| Thriller,1-Mar-13,UK,3,90 min
The Biker Warrior Babe vs. The Zombie Babies from Hell (2014), Horror,1-Nov-14,USA,3.6,79 min
Münafik (2015), Drama| Horror| Thriller,3-Apr-15,Turkey,4.8,
Bloody Snow (2016), Horror,25-Aug-16,USA,3.2,61 min
Awaiting (2015), Drama| Horror| Thriller,1-Mar-15,Portugal,4.7,95 min
Tin Can Man (2007), Horror,1-Mar-12,Ireland,6.5,
Die Die Delta Pi (2013), Horror,21-Jun-13,USA,4.2,78 min
Return to Blood Fart Lake (2012), Horror,21-Feb-12,USA,4.5,72 min
Art School of Horrors (2015), Comedy| Horror,29-Oct-15,USA,6.8,
Caesar and Otto's Deadly Xmas (2012), Comedy| Horror,30-Jun-12,USA,4.1,83 min
Gravedigger (2013), Horror| Thriller,2013,USA,5.6,75 min
Alice: Boy from Wonderland (2015), Fantasy| Horror| Mystery| Romance,18-Jul-15,South Korea,6.6,122 min
Grim Reapers (2014), Horror| Mystery| Thriller,27-Sep-14,USA,3.7,82 min
A New Beginning (2017), Drama| Horror| Thriller,2017,USA,,
Dead End 2 (2016), Horror,31-Oct-16,USA,5.7,
"Buy Now, Die Later (2015)", Horror,25-Dec-15,Philippines,5.3,118 min
Sexual Labyrinth (2017), Horror,26-Apr-17,Italy,,68 min
Croczilla (2012), Action| Comedy| Horror| Drama| Thriller,8-Jun-12,China,4.2,90 min
Athena (2015), Drama| Horror| Thriller,2015,USA,6.5,98 min
SOS: Save Our Skins (2014), Comedy| Horror,4-Apr-14,USA,5.4,98 min
RiffTrax Live: Birdemic - Shock and Terror (2012), Comedy| Horror,25-Oct-12,USA,7.3,110 min
Prema Katha Chitram (2013), Drama| Horror,7-Jun-13,USA,7.2,130 min
"Strasek, der Vampir (1982)", Horror,1-Jul-14,Switzerland,3.2,70 min
Goose Bumps: The Movie (2012), Horror,13-Sep-12,Japan,6.1,87 min
The Living Dead (2017), Action| Horror| Thriller,22-Mar-17,Russia,1.7,46 min
Pitfire of Hell (2016), Comedy| Horror,30-Apr-16,USA,7.1,
Demon Legacy (2014), Horror,19-May-14,UK,3.4,93 min
Ghostfinders (2015), Horror,5-May-15,USA,3.4,90 min
Hole in the Wall (2014), Horror,26-Sep-14,USA,4.3,79 min
Bugs (2014), Comedy| Horror,10-Oct-14,China,3.1,82 min
Rape Zombie: Lust of the Dead 2 (2013), Horror,11-Feb-14,USA,4.1,67 min
Crazy Murder (2014), Horror,29-Oct-14,USA,5.1,93 min
The Returned (2017),,2017,USA,,
Astro Zombies: M4 - Invaders from Cyberspace (2012), Comedy| Horror| Sci-Fi,2012,USA,4.7,90 min
Aurora (2016), Horror,2016,Brazil,,
Sonyeogoedam (2014), Comedy| Horror| Romance| Thriller,2-Jul-14,South Korea,6.1,90 min
Der Blunzenkönig (2015), Comedy| Horror,27-Aug-15,Austria,5.6,90 min
The Attachment (2016), Drama| Horror,3-Jun-16,USA,3.2,108 min
Tunnel (2014), Horror,20-Aug-14,South Korea,5.2,86 min
Seklusyon (2016), Horror,25-Dec-16,Philippines,6.8,90 min
Hollow (2014), Drama| Horror| Mystery| Thriller,18-Jul-14,Vietnam,5.8,99 min
The Demon's Rook (2013), Adventure| Fantasy| Horror,13-Oct-13,USA,5.5,103 min
Tai Hong 2 (2014), Horror,27-Feb-14,Taiwan,4.9,109 min
The Binman (2015), Horror| Thriller,1-Jan-15,UK,7.4,
I wish I wish (2016), Horror,14-Oct-17,USA,8.4,
I Didn't Come Here to Die (2010), Comedy| Horror,7-Jan-12,USA,5.4,80 min
Ghost Rituals (2014), Horror,10-Jul-14,Hong Kong,5.3,
The Witch hour: Curse of the ring (2017), Horror,31-May-17,India,,
Chaar (2014), Drama| Horror| Mystery,13-Jun-14,India,6.9,81 min
Lilith's Awakening (2016), Fantasy| Horror| Thriller,11-Jun-16,USA,6.5,80 min
When Your Flesh Screams (2015), Horror| Thriller,11-Oct-15,Argentina,3.9,
Bloody Bobby (2016), Comedy| Horror| Mystery,6-Oct-16,USA,9,
Hollow's Ridge (2017), Horror| Sci-Fi,2017,USA,,
Blood on Méliès' Moon (2016), Horror,2016,Italy,5.5,125 min
House of Many Sorrows (2016), Horror| Thriller,2016,USA,,82 min
Memory of the Dead (2011), Comedy| Horror,28-Mar-13,Argentina,5,89 min
Beast: A Monster Among Men (2013), Drama| Horror| Thriller,1-Oct-13,USA,4.6,72 min
Maya (2015), Horror,12-Jun-15,Pakistan,6.8,82 min
Disciples (2014), Horror,12-Sep-14,USA,2.1,90 min
Toxin (2014), Action| Horror,15-Apr-14,USA,2.4,73 min
Illusions (2015), Horror| Thriller,2016,USA,4.6,94 min
Avunu (2012), Horror| Thriller,21-Sep-12,India,6.8,115 min
6:15 (2015), Action| Horror| Thriller,1-Apr-15,USA,6.5,83 min
Hantu dalam botol kicap (2012), Comedy| Horror,9-Feb-12,Malaysia,2.8,78 min
The Beast (2016), Horror| Mystery| Thriller,2016,USA,5.2,78 min
Zomvideo (2011), Comedy| Horror,29-Dec-12,Japan,5.1,
Exscind (2016), Horror,2016,USA,3.2,80 min
Seytan-i racim (2013), Horror| Thriller,13-Sep-13,Turkey,3.8,97 min
Phobia (2013), Horror| Thriller,1-Sep-13,USA,3.3,91 min
Chopping Block (2016), Comedy| Horror,30-Aug-16,USA,5,82 min
Frost Bite (2012), Action| Horror,17-Feb-12,USA,3.3,93 min
Hüddam (2015), Horror| Mystery,20-Nov-15,Turkey,5.5,
Wonder Valley (2015), Horror,31-Oct-13,USA,4.7,71 min
Binhi (2015), Horror,20-May-15,Philippines,4.2,
The Brain Hunter (2013), Horror,15-Nov-15,USA,7.3,85 min
Evil Souls (2015), Horror,1-Oct-15,UK,2.7,92 min
Night Kaleidoscope (2017), Horror,4-Feb-17,USA,4.5,83 min
Dracula A.D. 2015 (2015), Horror,13-Jun-15,USA,8.4,59 min
Doc. 33 (2012), Horror| Mystery| Thriller,1-Jan-12,Italy,6.6,63 min
Abed (2012), Horror,18-Oct-12,USA,6.5,50 min
Basement (2014), Drama| Horror,12-Feb-14,Philippines,5.1,90 min
The Scarapist (2015), Crime| Horror| Thriller,9-Aug-16,USA,8.3,81 min
The Other One (2014), Drama| Horror| Mystery| Thriller,4-Apr-14,USA,6.5,94 min
Bill Huckstabelle: Serial Rapist (2015), Horror,7-Nov-15,USA,5.9,
The Blackout (2009), Horror| Sci-Fi| Thriller,30-Sep-12,Spain,3.4,80 min
Asian Ghost Story (2016), Action| Horror,31-Oct-16,USA,3.1,75 min
Crack Whore (2012), Comedy| Horror,1-Jan-15,USA,6.8,69 min
Christmas Cruelty! (2013), Horror,13-Dec-13,Norway,6.3,96 min
Impuratus (2017), Horror,10-Jul-17,India,,
Doctor (2012), Crime| Horror| Mystery| Thriller,20-Jun-13,South Korea,5,97 min
Theatre of the Deranged II (2013), Comedy| Horror| Thriller,2013,USA,5.4,91 min
The Cleaning Lady (2017), Horror| Thriller,2017,USA,,
Serial Kaller (2014), Horror,1-Oct-14,UK,4.4,95 min
Truth or Double Dare (TODD) (2017), Horror,30-Oct-17,USA,,
Double Booked (2014), Drama| Horror| Thriller,22-Oct-15,Canada,6.3,102 min
Tuyul: Part 1 (2015), Horror,9-Apr-15,Indonesia,6.3,95 min
The Spawning (2017), Horror| Sci-Fi,1-Jul-17,UK,,
American Exorcist, Horror,2017,USA,,
Savage Love (2012), Adventure| Horror| Mystery,18-May-12,Germany,3.2,88 min
Creepy Campfire Stories (2015), Horror,19-Oct-15,Germany,4.7,76 min
The Haunting of Baylock Residence (2014), Horror| Thriller,25-Feb-14,UK,4.9,70 min
Mummy Save Me (2016), Horror,2-Dec-16,India,7.1,131 min
Eyang Kubur (2013), Comedy| Horror,28-Nov-13,Indonesia,5.8,80 min
Pretham Undu Sookshikkuka (2017), Comedy| Horror,30-Jun-17,India,6.8,141 min
Zombie Ninjas vs Black Ops (2015), Action| Adventure| Horror,1-Oct-15,USA,3.4,94 min
Meathook Massacre 3: First Hunt (2017), Horror,1-Oct-17,USA,,63 min
Evil Exhumed (2016), Horror,1-Jun-16,USA,2.8,76 min
The Killing Games (2012), Drama| Horror| Thriller,22-Apr-14,Canada,4.4,101 min
The Red Man (2016), Horror| Mystery,25-Oct-16,USA,6.1,98 min
Seekers (2016), Horror,18-Mar-16,Germany,3.1,90 min
Slash (2013), Crime| Drama| Horror| Thriller,9-Sep-13,USA,7.4,79 min
Nocturnal Activity (2014), Horror| Sci-Fi,25-Aug-15,USA,1.9,80 min
R: Rage of the Zombies (2017), Horror,1-Jul-17,New Zealand,,
The Girl in the Cornfield (2016), Horror| Mystery,13-May-16,USA,4.3,81 min
Poignant (2016), Horror| Thriller,2016,France,3.8,
Chung Cu Ma (2014), Comedy| Horror,24-Dec-14,Vietnam,5.4,115 min
American Slasher (2014), Crime| Drama| Horror| Mystery| Thriller,1-Feb-14,USA,4.9,70 min
Brutal Colors (2015), Drama| Horror| Thriller,23-Jun-15,USA,3.4,74 min
Alone in the Ghost House (2015), Horror,5-Jun-15,USA,5.1,82 min
Sunshine Girl and the Hunt for Black Eyed Kids (2012), Adventure| Horror| Thriller,20-Dec-12,USA,5.2,87 min
Fall of Grace (2017), Horror,3-Oct-17,USA,8.2,
Make Them Die Quickly (2016), Horror,31-Jan-16,USA,,
The Orange Man (2015), Comedy| Horror,2015,USA,3.5,95 min
Keep Running. Zombie Soldier! (2015), Comedy| Horror,22-Jan-15,Thailand,4.6,
An American Exorcism (2017), Horror,1-Aug-17,UK,,
Club Dead (2015), Horror,1-Nov-15,USA,3.4,
Rumah kentang (2012), Horror,4-Oct-12,Indonesia,6.1,102 min
The Stray (2016), Horror| Thriller,5-Mar-16,USA,6.9,90 min
Almost Dead (2016), Drama| Horror| Thriller,2016,Italy,4.6,
3 Days Till Darkness (2017), Horror,27-Oct-17,USA,,
O Sthree Repu Raa (2016), Horror,11-Mar-16,India,4.6,120 min
Dogman 2: The Wrath of the Litter (2014), Drama| Horror| Thriller,31-Oct-14,USA,5,87 min
Hobo with a Trash Can (2015), Action| Comedy| Horror| Sci-Fi,14-Jun-15,USA,5.7,89 min
Ar Ma (2016), Comedy| Horror,25-Aug-16,Thailand,3.5,
Last Weekend (2017), Horror,10-Jul-17,UK,,
Hybris (2015), Horror| Mystery| Thriller,28-May-15,Italy,5.3,83 min
Haunted Campus (2016), Horror| Thriller,2-Jul-16,Japan,5.9,93 min
Hello Naan Pei Pesuren (2016), Comedy| Horror,1-Apr-16,India,4,110 min
Community Service the Movie (2012), Horror,21-Jul-12,USA,6,69 min
Phobia (2013), Horror| Mystery| Thriller,25-Nov-14,USA,3.5,84 min
Mold! (2012), Horror| Sci-Fi,21-May-13,USA,5,
Ovulation (2013), Drama| Horror| Thriller,28-Sep-13,USA,7.5,45 min
Amerikan Violence (2014), Crime| Drama| Horror| Thriller,1-Sep-14,USA,7.9,
Vampire Camp (2012), Comedy| Horror,16-Jul-12,USA,6.7,
The G-string Horror (2012), Horror| Mystery| Thriller,5-Dec-12,USA,3.5,74 min
Hypnagogic (2015), Drama| Horror| Thriller,2015,USA,4,51 min
Aftermath (2012), Action| Horror,31-Oct-12,USA,5.3,105 min
Sleep Eaters (2017), Horror,1-Apr-17,USA,,
Nenek gayung (2012), Comedy| Horror,19-Apr-12,Indonesia,3.8,79 min
Reclusion (2012), Horror| Thriller,2012,USA,5.2,84 min
American Maniacs (2012), Drama| Horror| Thriller,1-Jan-12,USA,3.3,
Zombie with a Shotgun (2017), Action| Horror| Romance,2017,USA,,
Empire State of the Dead (2016), Horror,28-May-16,USA,5.7,
Viral (2013), Comedy| Horror| Thriller,29-Nov-13,Spain,4.5,95 min
The Last Halloween (2014), Horror,24-Oct-14,USA,7.2,
The Killer Unicorn (2017), Horror,2017,USA,,
Rudyard Kipling's Mark of the Beast (2012), Horror,23-Oct-12,USA,5.2,
The Final Exit (2017), Horror,22-Sep-17,India,,
Die Laughing (2017), Biography| Comedy| Horror,11-Sep-17,USA,6.5,69 min
7 Faces of Jack the Ripper (2014), Horror,1-Aug-14,USA,3.4,
Voidfinder (2017), Horror| Thriller,2017,USA,7.8,106 min
Dracula's Angel (2014), Animation| Horror| Romance| Thriller,10-Oct-14,USA,4,87 min
The House That Never Dies (2014), Drama| Horror| Mystery| Romance| Thriller,18-Jul-14,China,4.6,90 min
Frostbite (2013), Horror,15-Jun-13,USA,4.2,90 min
I Miss U (2012), Horror| Romance,31-May-12,Thailand,5.7,118 min
Deadly Punkettes (2014), Drama| Horror| Thriller,9-Aug-14,USA,4.2,80 min
Zlo (2012), Horror,12-Apr-12,Slovakia,4.8,
Things Fall Apart (2017), Drama| Horror| Thriller,21-Jul-17,Germany,,80 min
The Locksmith (2017), Horror,12-May-17,USA,,90 min
Helak: Kayip Köy (2015), Horror| Thriller,22-May-15,Turkey,4.1,
Mad Mutilator (1983), Horror,4-Dec-12,France,4.4,90 min
Moonshine Meat Market Mayhem (2016), Action| Adult| Comedy| Horror| Sci-Fi| Western,1-May-17,USA,5.2,
Abolition (2011), Horror,23-Oct-12,USA,4.7,82 min
Hyde's Secret Nightmare (2011), Horror,13-Jan-12,Italy,5.8,122 min
Blood Slaughter Massacre (2013), Horror| Thriller,19-May-13,USA,4.7,125 min
Carver (2015), Horror| Mystery| Thriller,2015,USA,5,75 min
Cheerleader Camp: To the Death (2014), Horror,13-Oct-14,USA,3.5,70 min
The Eve (2015), Horror| Thriller,24-Apr-15,USA,4,90 min
Spook (2017), Horror,13-Aug-17,USA,,
Crazed (2014), Action| Adventure| Horror| Thriller,27-Mar-15,USA,5,98 min
Camp Death III: The Final Summer (2017), Comedy| Horror,2017,Canada,,93 min
"Daddy, I'm a Zombie (2011)", Animation| Comedy| Fantasy| Horror,10-Jan-12,Spain,4.5,80 min
Singular Cay (2012), Horror,14-Dec-12,Hong Kong,3.5,88 min
Take Back the Knife (2015), Action| Comedy| Horror,31-Jan-15,USA,,80 min
The Watermen (2012), Horror| Thriller,20-Jun-12,Brazil,3,94 min
Veil (2017), Crime| Drama| Horror| Thriller,14-Feb-17,USA,6.4,74 min
The Incredible Truth (2013), Horror,28-Apr-13,China,3.7,91 min
The Thing on the Doorstep (2014), Horror| Mystery| Thriller,2014,USA,3.8,89 min
Darr @ the Mall (2014), Horror| Thriller,21-Feb-14,India,5,124 min
The Complex (2013), Horror,18-May-13,Japan,5.2,106 min
Queen of Blood (2014), Horror,4-Apr-14,USA,5.2,78 min
Zombie Fever (2013), Comedy| Horror,15-Aug-13,Russia,2.1,
Midnight Hair (2014), Horror| Mystery,2014,China,5.3,95 min
Breath of Hate (2011), Drama| Horror| Romance,2015,USA,4.5,
Turtle Island (2013), Horror| Thriller,2013,USA,6.4,80 min
Zombie Mutation (2012), Horror,4-Nov-12,UK,6.6,80 min
Azap (2015), Horror| Thriller,11-Dec-15,Turkey,5.6,
Doll Murder Spree (2017), Horror,24-Oct-17,USA,,80 min
Paranormal Sex Tape (2016), Horror,24-May-16,USA,2.5,71 min
Poltergeist Encounters (2016), Horror,8-Oct-16,Canada,3.3,80 min
Show Yourself (2016), Drama| Horror,2-Apr-16,USA,8.6,79 min
Chad's Dental Nightmare (2017), Horror,31-Oct-17,USA,,60 min
The Lurking (2015), Horror,10-Dec-15,USA,6,61 min
The Last Revenants (2017), Horror,10-Aug-17,USA,5.6,96 min
Sleeper (2012), Action| Horror,26-Jun-12,USA,3.9,86 min
Nightscape (2012), Fantasy| Horror| Thriller,26-Jun-15,Germany,3,89 min
Dark Prism (2015), Comedy| Fantasy| Horror| Sci-Fi,2015,USA,4,106 min
Billy Club (2013), Comedy| Horror,1-Oct-13,USA,5.6,94 min
Kill That Bitch (2014), Horror,4-Feb-14,USA,4.7,68 min
Across the River (2013), Horror| Mystery| Thriller,8-May-14,Germany,5.5,92 min
Deadly Waters (2015), Horror,1-Jun-15,UK,4.7,
*69 (2016), Horror| Mystery| Thriller,1-Jul-16,USA,3.9,
The Black Dahlia Haunting (2012), Crime| Drama| Horror| Mystery,1-Jul-13,Canada,5,80 min
The Power (2015), Horror,2015,UK,6.5,
Demimonde (2017), Horror| Mystery| Romance,2017,USA,,
Portrait of a Zombie (2012), Comedy| Drama| Horror,3-Mar-12,USA,3.6,89 min
The Night-Time Winds (2017), Drama| Horror| Thriller,22-Sep-17,USA,,45 min
Where Demons Dwell: The Girl in the Cornfield 2 (2017), Horror| Mystery| Thriller,13-Jan-17,USA,5.6,140 min
The Terrible Two (2017), Horror| Thriller,2017,USA,,84 min
Harold's Going Stiff (2011), Comedy| Horror,7-Aug-12,UK,5.7,77 min
Abandoned in the Dark (2014), Horror| Thriller,8-Nov-14,USA,5.8,83 min
A Dark Place Inside (2014), Horror,1-Feb-14,USA,4.1,80 min
Blood Demon Rising (2017), Horror| Thriller,17-Feb-17,USA,4.9,93 min
A Haunting at the Rectory (2015), Horror,8-Jun-15,UK,3.5,88 min
Furry Nights (2016), Horror,30-Nov-16,USA,8.2,
Morgana (2012), Horror,3-Aug-12,Mexico,3.7,90 min
Red Summer (2017), Horror,1-Mar-17,USA,6.4,105 min
Beyond the Grave (2010), Action| Crime| Horror| Western,13-Feb-15,USA,4.2,89 min
Our Bloody Hallows Eve (2017), Crime| Horror| Thriller,31-Oct-17,USA,,
Unholy (2015), Drama| Horror| Thriller,25-Oct-15,UK,5.8,82 min
Attack of the Herbals (2011), Comedy| Horror,4-Sep-12,USA,3.6,81 min
Los muertos (2017), Horror,1-Sep-17,USA,,90 min
Area 407: Part Two (2013), Horror| Thriller,27-Nov-13,USA,4,
Haunted Trailer (2014), Comedy| Horror,22-Jul-14,USA,4.4,90 min
Camp Blood First Slaughter (2014), Horror| Thriller,20-May-14,USA,3.1,72 min
The Rooms (2014), Horror,27-Mar-14,Thailand,5.7,
Entity (2013), Drama| Horror| Thriller,3-Sep-13,USA,3.6,107 min
Sledge (2014), Horror,2-Sep-14,USA,4.6,75 min
Marianne (2011), Drama| Fantasy| Horror| Thriller,3-Jul-13,USA,4.9,103 min
Red Christmas (2014), Horror,9-Dec-14,USA,6.1,60 min
Psychotic (2012), Action| Horror| Thriller,3-Mar-15,USA,3.9,80 min
Death-Scort Service Part 2: The Naked Dead (2017), Horror,7-Apr-17,USA,5.2,
Fly on the Wall (2017), Action| Crime| Horror| Thriller,27-Jun-17,USA,,89 min
Night People (2015), Horror| Sci-Fi| Thriller,9-May-16,USA,4.3,108 min
Hi5teria (2012), Horror| Mystery,29-Mar-12,Indonesia,6.9,94 min
The Ungovernable Force (2015), Action| Adventure| Comedy| Horror| Sci-Fi| Thriller,1-Jan-15,USA,6.5,101 min
Lebuhraya Ke Neraka (2017), Drama| Horror,4-May-17,Malaysia,,83 min
Test Group (2015), Drama| Horror,1-Jan-15,USA,4.8,163 min
Headless (2014), Drama| Horror| Thriller,22-Aug-14,USA,5.9,71 min
She's Allergic to Cats (2016), Comedy| Horror| Romance,18-Jun-16,USA,6.4,82 min
Gehenna: Darkness Unleashed (2015), Horror,25-Oct-15,USA,,120 min
Hana-Dama: The Origins (2014), Horror,18-Jan-14,Japan,5.5,
Socialistický Zombi Mord (2014), Horror,25-Apr-14,Slovakia,6,94 min
A Touch Unseen (2014), Horror,1-May-14,USA,5.2,82 min
Air terjun pengantin phuket (2013), Horror| Thriller,31-Jan-13,Indonesia,5.4,83 min
Like a Bat Outta Hell (2013), Drama| Horror| Thriller,27-May-15,Philippines,4.2,92 min
Aaaah (2014), Adventure| Horror| Thriller,28-Nov-14,India,5.7,138 min
Mohini (2017), Horror,2017,India,,
The Midnight Matinee (2017), Horror| Mystery| Thriller,19-May-17,USA,6.5,46 min
House of Whores (2015), Horror,1-Jul-15,USA,7.5,55 min
Realm of Souls (2013), Horror,27-Sep-13,USA,4.5,118 min
The Slayers (2015), Comedy| Horror,2016,UK,9,101 min
The Jokesters (2015), Comedy| Horror| Thriller,21-Jul-15,USA,5.2,70 min
"Silent Night, Bloody Night 2: Revival (2015)", Horror,15-Mar-15,USA,3.5,90 min
The Devils Door (2016), Horror,20-May-16,USA,8.2,
No 46 (2016), Horror,28-Feb-16,Australia,4.4,
Vampire Clay (2017), Horror,21-Sep-17,USA,5.9,80 min
In April (2016), Action| Drama| Fantasy| Horror| Thriller,1-Apr-16,USA,8.5,119 min
Dead Stop (2011), Horror,17-Jan-16,USA,6.1,82 min
Ridge War Z (2013), Horror| Thriller| War,5-Nov-13,USA,2.8,89 min
Raichi Hikari kurabu (2015), Comedy| Horror| Thriller,13-Feb-16,Japan,6,
Untitled (2011), Comedy| Drama| Horror,23-Jan-15,UK,5.2,
Andrey Iskanov's Visions of Suffering: Uroboros (2016), Horror,2016,Sweden,7.9,
Mythily Veendum Varunnu (2017), Horror,21-Jul-17,India,3.2,94 min
The Possessed (2016), Horror,23-Jul-16,China,6.9,110 min
When I Was Alive (2014), Drama| Horror| Musical| Thriller,31-Jan-14,Brazil,6.4,108 min
Scarewaves (2014), Horror,26-Sep-14,USA,5,82 min
The Couple (2014), Horror,30-Oct-14,Thailand,5.8,
